"S","X1","X2","pred"
"White",39,3.1,0.523785948308617
"White",36,3,0.466691332241816
"White",30,3.1,0.391548653327939
"White",37,3.4,0.531463497489169
"White",30.5,3.6,0.459797039794005
"White",36,3.6,0.541506700654794
"White",37,2.7,0.444283543393923
"White",37,2.6,0.431982070638352
"White",31,3.6,0.467201988206911
"White",41,3.2,0.565694389071778
"White",35,3.1,0.464306641098171
"White",35,3.2,0.47675600824772
"White",35,2.9,0.439556034895512
"White",41,2.3,0.453768045668289
"White",30.5,3.3,0.422850956223394
"White",36,3,0.466691332241816
"White",40,3.9,0.635193629829903
"White",36,3.4,0.516609489461501
"White",29,2.7,0.331754592473115
"White",37,3.2,0.506517919194706
"White",30,3.1,0.391548653327939
"White",40,3.1,0.538616382192262
"White",37,3.6,0.556252804892155
"Black",29,2.8,0.132559017652513
"White",34,2.8,0.412777320687569
"White",35,3,0.451901598239963
"White",40,3.4,0.575589792519425
"White",36,2.6,0.41743133550724
"White",29,2.9,0.354272175612613
"White",35,2.5,0.391059994975999
"White",32,3.4,0.457162784227177
"White",36,2.7,0.429631858185022
"White",36,3.3,0.50412209074856
"White",36,2.5,0.405331063356022
"White",38,3.6,0.5709004600298
"White",36,3.6,0.541506700654794
"White",32.5,3.2,0.439808751538866
"White",27,3.5,0.396615642136415
"White",36,2.4,0.393344720182224
"Black",19,3.2,0.0932818801511777
"White",34,3.7,0.52429765984741
"White",35,3.1,0.464306641098171
"White",36,2.8,0.44191847330579
"White",38,3.7,0.583096915395174
"White",34,3.2,0.461923580989946
"White",38,2.8,0.471465175503942
"White",36,3.4,0.516609489461501
"White",42,3.5,0.61627913887761
"White",29,2.3,0.289018713955224
"White",31,3.7,0.47965947575742
"Black",23,2.6,0.0881998618266977
"White",37,3.8,0.580765153185157
"White",33,3.3,0.459542259583157
"White",35,3.3,0.489234325063851
"White",36,3.2,0.491629547337456
"White",35.5,2.4,0.386261725291111
"White",41,3.4,0.59006954415461
"White",34,3.5,0.499329975950925
"White",29,3.3,0.401211935987957
"White",33,3.3,0.459542259583157
"White",32,2.9,0.396124777060451
"White",39,2.3,0.424439776693178
"White",39,3.4,0.560979114940052
"White",39,3,0.511308568191982
"White",32,3.8,0.507030722419272
"White",29,3.3,0.401211935987957
"White",31,3,0.393834387027785
"White",36,3.3,0.50412209074856
"Black",27,2.4,0.0999724790569231
"White",30,3.5,0.440061499391552
"White",38,3.5,0.558617287556062
"White",34,2.8,0.412777320687569
"White",37,3.7,0.568550956809037
"White",43,3,0.57039780275568
"White",42,2.9,0.543376336521823
"White",33.5,3.4,0.479403456820998
"White",25,2.9,0.301841315181102
"White",38,3.4,0.546261956004076
"White",42,3.6,0.628026166420886
"White",37,3.5,0.543885328388346
"White",29.5,3.5,0.43273733693163
"White",41,3.1,0.553378775110246
"White",38,3.6,0.5709004600298
"White",42,3.2,0.580265555698616
"White",35.5,3.3,0.496677471449969
"White",36,3.6,0.541506700654794
"White",39,3.5,0.573246772282482
"White",28,2.9,0.340768655820641
"White",42,3.3,0.59238587730821
"White",43,3.5,0.630262414295858
"White",43,3.1,0.582598099538151
"White",35,3.2,0.47675600824772
"White",40,3.7,0.611736122009853
"White",42,2.5,0.493512336242017
"White",42,2.7,0.518490373993493
"White",40,3.7,0.611736122009853
"White",38,3.5,0.558617287556062
"White",40,3.3,0.563338183221106
"White",39,3.5,0.573246772282482
"White",36,3.6,0.541506700654794
"White",38,3.6,0.5709004600298
"White",36,3,0.466691332241816
"White",39,3.2,0.536233706793658
"White",37,3.9,0.592881170051336
"White",31.5,2.7,0.365547838177768
"White",41,4,0.660179656765122
"White",41,3,0.540997294526625
"White",36,3.3,0.50412209074856
"White",35,3.8,0.551516291387434
"White",39,3.7,0.59749964653572
"White",37,3.8,0.580765153185157
"White",37,3.1,0.494025153956728
"White",36,3.8,0.566198364236391
"White",40,3.3,0.563338183221106
"White",45,3.3,0.634718098238496
"White",35,2.6,0.403022968507522
"White",37,3.6,0.556252804892155
"White",40,3.8,0.623537269623616
"White",39,3.4,0.560979114940052
"White",33,3.9,0.534359887044207
"White",40,3.6,0.599802470061217
"White",38,3.8,0.595192515145035
"White",41,3.3,0.57792942027829
"White",34,2.9,0.424941038404069
"White",40,3.1,0.538616382192262
"White",40,3.2,0.551008785278914
"White",32.5,3.4,0.464561792248977
"White",41,3.4,0.59006954415461
"White",37,3.5,0.543885328388346
"White",41,3.3,0.57792942027829
"White",39,3.6,0.585424966392922
"White",38,3.5,0.558617287556062
"White",42,3.1,0.568047629677832
"White",37,3.6,0.556252804892155
"Black",32,2.8,0.154485479124187
"White",39,3.6,0.585424966392922
"White",32,2.8,0.38423477292151
"White",41,3.1,0.553378775110246
"White",36,3.7,0.553885771249104
"White",38,3.4,0.546261956004076
"White",34,3.3,0.474365633078121
"White",38,3.6,0.5709004600298
"White",43,2.9,0.558111378707921
"White",35,3.7,0.53912617966292
"White",37,3.9,0.592881170051336
"White",40,3.2,0.551008785278914
"White",45,3.2,0.623055560532196
"White",39.5,3.3,0.55599958759547
"White",40,3.3,0.563338183221106
"White",38,3.4,0.546261956004076
"White",40,3.4,0.575589792519425
"White",36,3.7,0.553885771249104
"White",30,3.5,0.440061499391552
"White",37,3.7,0.568550956809037
"White",36,2.7,0.429631858185022
"White",35,2.9,0.439556034895512
"White",28.5,3.2,0.382211833123556
"White",39,2.4,0.436691591974134
"White",41,3.9,0.648880341643816
"White",29,3.5,0.425442454517455
"White",36.5,3.1,0.486583329462426
"White",39,3.8,0.609457255737562
"White",36,3,0.466691332241816
"White",36,2.9,0.454276606091631
"White",36,2.9,0.454276606091631
"White",37,2.8,0.456653696449251
"White",38,3.2,0.521394739772282
"White",31.5,3.1,0.413025987586935
"White",37,3.1,0.494025153956728
"White",26.7,3.3,0.368792260272171
"Black",32,3.7,0.222685917455684
"White",31,3,0.393834387027785
"White",32.7,3.1,0.430453697427392
"White",35,3.2,0.47675600824772
"White",31,3.2,0.417930330394685
"White",33,3,0.422600632850941
"White",33,3.1,0.434839468348522
"White",34.5,2.9,0.432233791112434
"White",39,4.1,0.644500652168217
"White",34,3.1,0.449528779096749
"White",34,2.8,0.412777320687569
"White",37,2.8,0.456653696449251
"White",25,3.2,0.334339250194361
"White",33,2.9,0.410456090948383
"White",34,3,0.437196332095977
"White",34,2.7,0.400719160244076
"White",30.5,3,0.386748195880783
"White",33,3.3,0.459542259583157
"White",34,2.9,0.424941038404069
"White",30,3.4,0.427786938088864
"White",38,2.4,0.422100105466597
"White",32.5,3.1,0.42753585723927
"White",40,4,0.64669357574377
"White",42,4,0.673410929683409
"White",35,3.2,0.47675600824772
"White",29,3.4,0.41327469886113
"White",35,2.9,0.439556034895512
"White",32,3.1,0.42026369705321
"White",27,2.3,0.265169453629459
"White",38,3,0.496421034960437
"White",31,2.7,0.358669452208504
"White",38,3,0.496421034960437
"White",28.5,3.9,0.467457342028281
"White",34,2.6,0.388780035840972
"White",31,3,0.393834387027785
"White",33,2.9,0.410456090948383
"White",35,2.7,0.415102434640667
"White",32.5,2.8,0.391304296909393
"White",36,2.6,0.41743133550724
"White",37,3.4,0.531463497489169
"White",33,3.2,0.44715825446798
"White",37,2.9,0.469077546457511
"White",25.5,2.8,0.297602743361716
"White",38,2.6,0.446651140753337
