"S","X1","X2","pred"
"White",39,3.1,0.513532679299191
"White",36,3,0.444799178964254
"White",30,3.1,0.353820009609953
"White",37,3.4,0.519836804759964
"White",30.5,3.6,0.430301117247867
"White",36,3.6,0.530096376158335
"White",37,2.7,0.420702795644606
"White",37,2.6,0.406867866183624
"White",31,3.6,0.439262876036663
"White",41,3.2,0.56391289562021
"White",35,3.1,0.440876801003514
"White",35,3.2,0.454981081922348
"White",35,2.9,0.412974171221166
"White",41,2.3,0.436273586707386
"White",30.5,3.3,0.388946714669863
"White",36,3,0.444799178964254
"White",40,3.9,0.641849054106344
"White",36,3.4,0.501612947461834
"White",29,2.7,0.288355246270517
"White",37,3.2,0.491328241523791
"White",30,3.1,0.353820009609953
"White",40,3.1,0.531727566924006
"White",37,3.6,0.548216770350709
"Black",29,2.8,0.300199943281647
"White",34,2.8,0.381860088152538
"White",35,3,0.426867304435434
"White",40,3.4,0.574002462289628
"White",36,2.6,0.389392675186823
"White",29,2.9,0.312317654712467
"White",35,2.5,0.358968818708686
"White",32,3.4,0.429155750830815
"White",36,2.7,0.403037161800584
"White",36,3.3,0.48735572427854
"White",36,2.5,0.375919229473032
"White",38,3.6,0.56621021601546
"White",36,3.6,0.530096376158335
"White",32.5,3.2,0.41025595908289
"White",27,3.5,0.355960066942099
"White",36,2.4,0.362635109902219
"Black",19,3.2,0.206269912632418
"White",34,3.7,0.507923526826718
"White",35,3.1,0.440876801003514
"White",36,2.8,0.416833374413028
"White",38,3.7,0.580163611501272
"White",34,3.2,0.436961789279442
"White",38,2.8,0.452664125441742
"White",36,3.4,0.501612947461834
"White",42,3.5,0.622721083574673
"White",29,2.3,0.243876193591538
"White",31,3.7,0.453357390098577
"Black",23,2.6,0.198126079869339
"White",37,3.8,0.57628656805011
"White",33,3.3,0.433054616331205
"White",35,3.3,0.469157965387345
"White",36,3.2,0.473119046059341
"White",35.5,2.4,0.354249043640134
"White",41,3.4,0.59173373663468
"White",34,3.5,0.479415980298589
"White",29,3.3,0.36328200889192
"White",33,3.3,0.433054616331205
"White",32,2.9,0.361122614201337
"White",39,2.3,0.400790205540624
"White",39,3.4,0.556078824999321
"White",39,3,0.499276060442296
"White",32,3.8,0.485719461901946
"White",29,3.3,0.36328200889192
"White",31,3,0.357463038361475
"White",36,3.3,0.48735572427854
"Black",27,2.4,0.227869780258665
"White",30,3.5,0.407543217217282
"White",38,3.5,0.552151056683399
"White",34,2.8,0.381860088152538
"White",37,3.7,0.562301530950508
"White",43,3,0.571715194334665
"White",42,2.9,0.539635605580718
"White",33.5,3.4,0.456140297905102
"White",25,2.9,0.253306507111365
"White",38,3.4,0.538008027584741
"White",42,3.6,0.636025228800601
"White",37,3.5,0.534054343410415
"White",29.5,3.5,0.398768384186449
"White",41,3.1,0.549838475950257
"White",38,3.6,0.56621021601546
"White",42,3.2,0.581758129116782
"White",35.5,3.3,0.478249628362747
"White",36,3.6,0.530096376158335
"White",39,3.5,0.57011068158594
"White",28,2.9,0.296870867749689
"White",42,3.3,0.595568629705517
"White",43,3.5,0.639697407636371
"White",43,3.1,0.585621106632315
"White",35,3.2,0.454981081922348
"White",40,3.7,0.615222612751276
"White",42,2.5,0.482686166798612
"White",42,2.7,0.511197219606734
"White",40,3.7,0.615222612751276
"White",38,3.5,0.552151056683399
"White",40,3.3,0.559999596440963
"White",39,3.5,0.57011068158594
"White",36,3.6,0.530096376158335
"White",38,3.6,0.56621021601546
"White",36,3,0.444799178964254
"White",39,3.2,0.527767311720648
"White",37,3.9,0.590150457206708
"White",31.5,2.7,0.327163361948477
"White",41,4,0.671146570681207
"White",41,3,0.535683829238259
"White",36,3.3,0.48735572427854
"White",35,3.8,0.540330575034421
"White",39,3.7,0.597818122124358
"White",37,3.8,0.57628656805011
"White",37,3.1,0.477083513537085
"White",36,3.8,0.558385095808167
"White",40,3.3,0.559999596440963
"White",45,3.3,0.64699259230215
"White",35,2.6,0.372197062631054
"White",37,3.6,0.548216770350709
"White",40,3.8,0.628633488925208
"White",39,3.4,0.556078824999321
"White",33,3.9,0.518201724599021
"White",40,3.6,0.601634339149324
"White",38,3.8,0.593990018036903
"White",41,3.3,0.577885097013966
"White",34,2.9,0.395411552845125
"White",40,3.1,0.531727566924006
"White",40,3.2,0.545900581935467
"White",32.5,3.4,0.438111999862509
"White",41,3.4,0.59173373663468
"White",37,3.5,0.534054343410415
"White",41,3.3,0.577885097013966
"White",39,3.6,0.584030785997991
